다타사, 44, 195
다가카, 76, 166
자가마, 89, 155
마사파, 73, 173
사라카, 91, 155
하나다, 99, 150
파아파, 46, 152
카타가, 71, 196
가아아, 99, 172
하다나, 85, 198
바아하, 46, 197
타다다, 86, 197
나하마, 45, 193
가바사, 57, 148
다다차, 86, 155
나라자, 55, 148
파가다, 71, 144
나파카, 54, 143
라마카, 94, 188
마바파, 86, 152
바파자, 85, 188
라가파, 97, 161
마바사, 90, 198
아자하, 86, 178
차바자, 43, 198
파하아, 55, 191
카라자, 52, 198
다나나, 79, 157
파바카, 80, 158
하다다, 42, 176
타카다, 72, 170
라아가, 72, 164
가차가, 72, 160
나아가, 58, 193
타타파, 74, 156
카사바, 98, 187
하하자, 94, 148
카타자, 59, 194
바사파, 52, 192
가카사, 60, 171
자가차, 58, 184
마타차, 52, 194
가하파, 85, 194
차바나, 79, 157
다하다, 61, 185
카나파, 88, 148
타사타, 75, 161
바하타, 42, 184
나라바, 77, 177
타마라, 49, 161
라자차, 45, 159
사사차, 44, 196
자카카, 40, 159
하가차, 83, 191
사자파, 44, 194
가사바, 96, 159
다타자, 85, 180
자카나, 51, 161
바가바, 91, 159
다아하, 47, 153
카카라, 49, 158
마타라, 85, 166
바자라, 88, 142
아가파, 81, 165
사하파, 92, 157
하가사, 69, 183
나하가, 82, 195
자자나, 86, 196
마라파, 97, 141
하라나, 83, 194
카아자, 48, 198
다바카, 70, 199
하하마, 44, 197
바타마, 92, 190
자차가, 64, 193
자자하, 90, 199
차라나, 46, 186
다바차, 87, 145
하라카, 53, 199
바마사, 83, 181
마아라, 95, 183
다라차, 52, 168
차나바, 55, 180
가마가, 70, 196
아타바, 56, 196
카마바, 95, 195
라가라, 90, 151
다바다, 93, 178
타라사, 68, 169
차나마, 43, 187
타마차, 49, 165
바타나, 91, 185
나나파, 98, 151
타바나, 60, 161
바타바, 86, 164
차마타, 89, 193
마라바, 63, 186
파차하, 84, 157
아바다, 77, 155
라카라, 48, 156
가다바, 42, 183
가파라, 45, 191
마하하, 48, 147
타카다, 91, 151
자카마, 60, 171
나차자, 60, 177
사바바, 87, 147
나나바, 97, 167
마하가, 42, 144
가하다, 72, 190
나파바, 47, 180
자사나, 71, 184
아카나, 96, 162
사사파, 51, 178
자나카, 58, 161
라라라, 80, 143
파아가, 55, 183
바아파, 89, 141
자하가, 71, 160
나파마, 99, 168
파가마, 67, 147
다마사, 83, 197
자카가, 72, 166
바나다, 44, 163
가가가, 94, 174
